ContractProviderKey,ContractCreated,contracts,value
32037,2026-02-23,1,5088.00
37726,2026-04-28,1,7199.00
37726,2026-06-04,1,7000.00
37726,2026-06-29,1,5620.00
37918,2026-04-27,1,495.00
37918,2026-04-30,1,2832.50
37918,2026-07-23,1,1616.00
37918,2026-08-03,1,876.00
37918,2026-08-20,1,860.00
37918,2026-08-24,1,1116.80
38165,2026-05-19,1,20000.00
38165,2026-06-05,1,5000.00
38165,2026-07-01,1,6500.00
38165,2026-07-18,1,446.70
38165,2026-08-25,1,6500.00
38165,2026-08-26,1,6500.00
38326,2026-06-02,1,1375.00
38326,2026-06-12,1,586.00
38326,2026-06-24,1,896.00
38326,2026-07-10,1,600.00
38917,2026-07-03,1,2679.00
38917,2026-08-29,1,2600.00
